	level_0	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
122	11	105	401103	0.0	1.6324191	Merger	4755881000.0	100	71
123	12	106	422477	0.0	0.10454389	Merger	28255113000.0	100	71
124	13	107	467197	0.0	0.3277651	Merger	16073093000.0	100	71
125	14	108	530680	0.0	0.16544062	Merger	1324050000.0	100	71
126	15	109	539627	0.0	1.9918603	Merger	1723282700.0	100	71
127	16	110	541200	0.0	0.93775976	Merger	2650201600.0	100	71
128	17	111	543939	0.0	0.27219394	Merger	2435117600.0	100	71
129	18	112	546477	0.0	0.1599415	Merger	4284860000.0	100	71
130	19	113	550050	0.0	1.220855	Merger	1680268300.0	100	71
131	20	114	555506	0.0	0.25134736	Merger	1233985200.0	100	71
132	21	115	574480	0.0	0.16153316	Merger	764922430.0	100	71
133	22	116	581087	0.0	0.15406926	Merger	2251209500.0	100	71
134	23	117	585242	0.0	0.1834351	Merger	169782620.0	100	71
135	24	118	593721	0.0	0.25768942	Merger	444522800.0	100	71
136	25	119	604925	0.0	1.3698132	Merger	92791256.0	100	71
137	26	120	605824	0.0	0.11875247	Merger	303638080.0	100	71
138	27	121	612922	0.0	0.21501681	Merger	2257366800.0	100	71
139	28	122	626207	0.0	0.15999238	Merger	434109660.0	100	71
140	29	123	630069	0.0	2.4460948	Merger	246195470.0	100	71
141	30	124	630171	0.0	0.28773382	Merger	434567100.0	100	71
142	31	125	640165	0.0	0.16979457	Merger	287211260.0	100	71
143	32	126	646895	0.0	0.18414646	Merger	97138260.0	100	71
144	33	127	657930	0.0	0.107803605	Merger	214970700.0	100	71
145	34	128	658103	0.0	0.16037233	Merger	285378560.0	100	71
146	35	129	663578	0.0	0.106442615	Merger	129276570.0	100	71
147	36	130	668189	0.0	0.10332661	Merger	107881064.0	100	71
148	37	131	672235	0.0	0.15602726	Merger	137827090.0	100	71
149	38	132	675211	0.0	0.5061629	Merger	143595970.0	100	71
150	39	133	681202	0.0	0.19013017	Merger	91838640.0	100	71
151	40	134	685545	0.0	0.69512767	Merger	88962500.0	100	71
152	41	251	400228	-0.3308066099999998	0.11678768	first_progenitor	779322600.0	1	71
153	42	265	550282	-0.3308066099999998	1.0827687	first_progenitor	4260215000.0	1	71
154	43	284	652790	-0.3308066099999998	0.24916069	first_progenitor	699363600.0	1	71
155	0	6	212955	0.4874113599999994	0.89069307	Descendant	620084660000.0	1000	72
156	1	51	712944	0.4874113599999994	0.102798656	Descendant	196266180.0	1000	72
157	2	53	0	0.32690631	0.1764896	Descendant	2506416200000.0	1000	72
158	3	54	140	0.32690631	0.86678463	Descendant	4311800300.0	1000	72
159	4	79	557919	0.32690631	0.16289699	Descendant	337432060.0	1000	72
160	5	101	119183	0.1644316799999998	0.82171166	Descendant	147156270.0	1000	72
161	6	124	626207	0.1644316799999998	0.15999238	Descendant	92573730.0	1000	72
162	7	136	119197	0.0	1.0923967	Merger	1369553400.0	100	72
163	8	137	133418	0.0	0.36396515	Merger	1679919400.0	100	72
164	9	138	158382	0.0	0.14326692	Merger	365165300000.0	100	72
165	10	139	173635	0.0	0.35980058	Merger	105743660000.0	100	72
166	11	140	181951	0.0	0.1759836	Merger	265827400000.0	100	72
167	12	141	252137	0.0	0.27397016	Merger	245622240000.0	100	72
168	13	142	263413	0.0	0.13035537	Merger	201033900000.0	100	72
169	14	143	295817	0.0	0.40953776	Merger	87249290000.0	100	72
170	15	144	304142	0.0	0.12771188	Merger	170104510.0	100	72
171	16	145	313119	0.0	0.56230694	Merger	1158441000.0	100	72
172	17	146	316773	0.0	0.13890485	Merger	589360260.0	100	72
173	18	147	316785	0.0	0.8178844	Merger	724956200.0	100	72
174	19	148	326889	0.0	0.45531437	Merger	5022704000.0	100	72
175	20	149	340382	0.0	1.0326972	Merger	1188275700.0	100	72
176	21	150	347958	0.0	0.17705871	Merger	15626935000.0	100	72
177	22	151	356314	0.0	0.31129226	Merger	1161663100.0	100	72
178	23	152	356316	0.0	0.89990836	Merger	2047612000.0	100	72
179	24	153	358815	0.0	0.113571994	Merger	40410110000.0	100	72
180	25	154	363697	0.0	0.16899316	Merger	92934545000.0	100	72
181	26	155	371697	0.0	0.1407988	Merger	439092200.0	100	72
182	27	156	425245	0.0	0.20338832	Merger	31306207000.0	100	72
183	28	157	435666	0.0	0.42642096	Merger	488063000.0	100	72
184	29	158	441824	0.0	0.38294226	Merger	12181052000.0	100	72
185	30	159	475906	0.0	1.3755695	Merger	15968246000.0	100	72
186	31	160	488873	0.0	0.16990615	Merger	650361200.0	100	72
187	32	161	516941	0.0	0.27604717	Merger	5368202000.0	100	72
188	33	162	522235	0.0	0.32024226	Merger	2986657300.0	100	72
189	34	163	546814	0.0	0.12937658	Merger	5646296000.0	100	72
190	35	164	566114	0.0	0.1723957	Merger	2096488100.0	100	72
191	36	165	566649	0.0	0.17403777	Merger	1432000300.0	100	72
192	37	166	587808	0.0	0.22974676	Merger	814143600.0	100	72
193	38	167	590054	0.0	0.33815312	Merger	1058145150.0	100	72
194	39	168	592465	0.0	0.13201554	Merger	722831550.0	100	72
195	40	169	609073	0.0	0.25758314	Merger	737970600.0	100	72
196	41	170	614265	0.0	0.31466144	Merger	522214400.0	100	72
197	42	171	615430	0.0	2.015238	Merger	773176000.0	100	72
198	43	172	618821	0.0	0.139127	Merger	136053700.0	100	72
199	44	173	622568	0.0	0.15558527	Merger	191093420.0	100	72
200	45	174	625529	0.0	0.23162253	Merger	1030725700.0	100	72
201	46	175	627604	0.0	0.43100226	Merger	92767370.0	100	72
202	47	176	627936	0.0	0.49025503	Merger	278098900.0	100	72
203	48	177	638858	0.0	0.1732579	Merger	563580600.0	100	72
204	49	178	642924	0.0	0.27257285	Merger	721702900.0	100	72
205	50	179	646631	0.0	0.40502366	Merger	273242180.0	100	72
206	51	180	652547	0.0	0.15346137	Merger	275720000.0	100	72
207	52	181	659345	0.0	0.11404498	Merger	525562020.0	100	72
208	53	182	665260	0.0	0.3476577	Merger	330072800.0	100	72
